identifier	name	link
B85-B89	Pediculosis, acariasis and other infestations	https://icd.who.int/browse10/2019/en#/B85-B89
W00-X59	Other external causes of accidental injury	https://icd.who.int/browse10/2019/en#/W00-X59
P05-P08	Disorders related to length of gestation and fetal growth	https://icd.who.int/browse10/2019/en#/P05-P08
R40-R46	Symptoms and signs involving cognition, perception, emotional state and behaviour	https://icd.who.int/browse10/2019/en#/R40-R46
R80-R82	Abnormal findings on examination of urine, without diagnosis	https://icd.who.int/browse10/2019/en#/R80-R82
A65-A69	Other spirochaetal diseases	https://icd.who.int/browse10/2019/en#/A65-A69
N60-N64	Disorders of breast	https://icd.who.int/browse10/2019/en#/N60-N64
III	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	https://icd.who.int/browse10/2019/en#/III
C45-C49	Malignant neoplasms of mesothelial and soft tissue	https://icd.who.int/browse10/2019/en#/C45-C49
Q60-Q64	Congenital malformations of the urinary system	https://icd.who.int/browse10/2019/en#/Q60-Q64
V30-V39	Occupant of three-wheeled motor vehicle injured in transport accident	https://icd.who.int/browse10/2019/en#/V30-V39
X30-X39	Exposure to forces of nature	https://icd.who.int/browse10/2019/en#/X30-X39
N10-N16	Renal tubulo-interstitial diseases	https://icd.who.int/browse10/2019/en#/N10-N16
T00-T07	Injuries involving multiple body regions	https://icd.who.int/browse10/2019/en#/T00-T07
XX	External causes of morbidity and mortality	https://icd.who.int/browse10/2019/en#/XX
X10-X19	Contact with heat and hot substances	https://icd.who.int/browse10/2019/en#/X10-X19
A30-A49	Other bacterial diseases	https://icd.who.int/browse10/2019/en#/A30-A49
T08-T14	Injuries to unspecified part of trunk, limb or body region	https://icd.who.int/browse10/2019/en#/T08-T14
XXI	Factors influencing health status and contact with health services	https://icd.who.int/browse10/2019/en#/XXI
C60-C63	Malignant neoplasms of male genital organs	https://icd.who.int/browse10/2019/en#/C60-C63
M00-M25	Arthropathies	https://icd.who.int/browse10/2019/en#/M00-M25
H46-H48	Disorders of optic nerve and visual pathways	https://icd.who.int/browse10/2019/en#/H46-H48
G00-G09	Inflammatory diseases of the central nervous system	https://icd.who.int/browse10/2019/en#/G00-G09
A80-A89	Viral infections of the central nervous system	https://icd.who.int/browse10/2019/en#/A80-A89
J80-J84	Other respiratory diseases principally affecting the interstitium	https://icd.who.int/browse10/2019/en#/J80-J84
I	Certain infectious and parasitic diseases	https://icd.who.int/browse10/2019/en#/I
M30-M36	Systemic connective tissue disorders	https://icd.who.int/browse10/2019/en#/M30-M36
W75-W84	Other accidental threats to breathing	https://icd.who.int/browse10/2019/en#/W75-W84
A15-A19	Tuberculosis	https://icd.who.int/browse10/2019/en#/A15-A19
G35-G37	Demyelinating diseases of the central nervous system	https://icd.who.int/browse10/2019/en#/G35-G37
O60-O75	Complications of labour and delivery	https://icd.who.int/browse10/2019/en#/O60-O75
W00-W19	Falls	https://icd.who.int/browse10/2019/en#/W00-W19
P70-P74	Transitory endocrine and metabolic disorders specific to fetus and newborn	https://icd.who.int/browse10/2019/en#/P70-P74
P35-P39	Infections specific to the perinatal period	https://icd.who.int/browse10/2019/en#/P35-P39
H30-H36	Disorders of choroid and retina	https://icd.who.int/browse10/2019/en#/H30-H36
B35-B49	Mycoses	https://icd.who.int/browse10/2019/en#/B35-B49
H60-H62	Diseases of external ear	https://icd.who.int/browse10/2019/en#/H60-H62
R30-R39	Symptoms and signs involving the urinary system	https://icd.who.int/browse10/2019/en#/R30-R39
Q35-Q37	Cleft lip and cleft palate	https://icd.who.int/browse10/2019/en#/Q35-Q37
N20-N23	Urolithiasis	https://icd.who.int/browse10/2019/en#/N20-N23
L50-L54	Urticaria and erythema	https://icd.who.int/browse10/2019/en#/L50-L54
E20-E35	Disorders of other endocrine glands	https://icd.who.int/browse10/2019/en#/E20-E35
A70-A74	Other diseases caused by chlamydiae	https://icd.who.int/browse10/2019/en#/A70-A74
VII	Diseases of the eye and adnexa	https://icd.who.int/browse10/2019/en#/VII
C00-C97	Malignant neoplasms	https://icd.who.int/browse10/2019/en#/C00-C97
F50-F59	Behavioural syndromes associated with physiological disturbances and physical factors	https://icd.who.int/browse10/2019/en#/F50-F59
M15-M19	Arthrosis	https://icd.who.int/browse10/2019/en#/M15-M19
E40-E46	Malnutrition	https://icd.who.int/browse10/2019/en#/E40-E46
T90-T98	Sequelae of injuries, of poisoning and of other consequences of external causes	https://icd.who.int/browse10/2019/en#/T90-T98
K20-K31	Diseases of oesophagus, stomach and duodenum	https://icd.who.int/browse10/2019/en#/K20-K31
S00-S09	Injuries to the head	https://icd.who.int/browse10/2019/en#/S00-S09
L20-L30	Dermatitis and eczema	https://icd.who.int/browse10/2019/en#/L20-L30
S90-S99	Injuries to the ankle and foot	https://icd.who.int/browse10/2019/en#/S90-S99
Z40-Z54	Persons encountering health services for specific procedures and health care	https://icd.who.int/browse10/2019/en#/Z40-Z54
I95-I99	Other and unspecified disorders of the circulatory system	https://icd.who.int/browse10/2019/en#/I95-I99
F99-F99	Unspecified mental disorder	https://icd.who.int/browse10/2019/en#/F99-F99
M80-M85	Disorders of bone density and structure	https://icd.who.int/browse10/2019/en#/M80-M85
IX	Diseases of the circulatory system	https://icd.who.int/browse10/2019/en#/IX
XIII	Diseases of the musculoskeletal system and connective tissue	https://icd.who.int/browse10/2019/en#/XIII
L55-L59	Radiation-related disorders of the skin and subcutaneous tissue	https://icd.who.int/browse10/2019/en#/L55-L59
V01-X59	Accidents	https://icd.who.int/browse10/2019/en#/V01-X59
A20-A28	Certain zoonotic bacterial diseases	https://icd.who.int/browse10/2019/en#/A20-A28
K90-K93	Other diseases of the digestive system	https://icd.who.int/browse10/2019/en#/K90-K93
F30-F39	Mood [affective] disorders	https://icd.who.int/browse10/2019/en#/F30-F39
T33-T35	Frostbite	https://icd.who.int/browse10/2019/en#/T33-T35
G10-G14	Systemic atrophies primarily affecting the central nervous system	https://icd.who.int/browse10/2019/en#/G10-G14
W85-W99	Exposure to electric current, radiation and extreme ambient air temperature and pressure	https://icd.who.int/browse10/2019/en#/W85-W99
R83-R89	Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis	https://icd.who.int/browse10/2019/en#/R83-R89
Q80-Q89	Other congenital malformations	https://icd.who.int/browse10/2019/en#/Q80-Q89
Q90-Q99	Chromosomal abnormalities, not elsewhere classified	https://icd.who.int/browse10/2019/en#/Q90-Q99
K55-K64	Other diseases of intestines	https://icd.who.int/browse10/2019/en#/K55-K64
A75-A79	Rickettsioses	https://icd.who.int/browse10/2019/en#/A75-A79
B20-B24	Human immunodeficiency virus [HIV] disease	https://icd.who.int/browse10/2019/en#/B20-B24
XVIII	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	https://icd.who.int/browse10/2019/en#/XVIII
Z30-Z39	Persons encountering health services in circumstances related to reproduction	https://icd.who.int/browse10/2019/en#/Z30-Z39
O80-O84	Delivery	https://icd.who.int/browse10/2019/en#/O80-O84
Z00-Z13	Persons encountering health services for examination and investigation	https://icd.who.int/browse10/2019/en#/Z00-Z13
M40-M43	Deforming dorsopathies	https://icd.who.int/browse10/2019/en#/M40-M43
I10-I15	Hypertensive diseases	https://icd.who.int/browse10/2019/en#/I10-I15
I20-I25	Ischaemic heart diseases	https://icd.who.int/browse10/2019/en#/I20-I25
V95-V97	Air and space transport accidents	https://icd.who.int/browse10/2019/en#/V95-V97
M40-M54	Dorsopathies	https://icd.who.int/browse10/2019/en#/M40-M54
B99-B99	Other infectious diseases	https://icd.who.int/browse10/2019/en#/B99-B99
I26-I28	Pulmonary heart disease and diseases of pulmonary circulation	https://icd.who.int/browse10/2019/en#/I26-I28
R90-R94	Abnormal findings on diagnostic imaging and in function studies, without diagnosis	https://icd.who.int/browse10/2019/en#/R90-R94
I30-I52	Other forms of heart disease	https://icd.who.int/browse10/2019/en#/I30-I52
C97-C97	Malignant neoplasms of independent (primary) multiple sites	https://icd.who.int/browse10/2019/en#/C97-C97
W20-W49	Exposure to inanimate mechanical forces	https://icd.who.int/browse10/2019/en#/W20-W49
M20-M25	Other joint disorders	https://icd.who.int/browse10/2019/en#/M20-M25
P90-P96	Other disorders originating in the perinatal period	https://icd.who.int/browse10/2019/en#/P90-P96
T79-T79	Certain early complications of trauma	https://icd.who.int/browse10/2019/en#/T79-T79
U82-U85	Resistance to antimicrobial and antineoplastic drugs	https://icd.who.int/browse10/2019/en#/U82-U85
V10-V19	Pedal cyclist injured in transport accident	https://icd.who.int/browse10/2019/en#/V10-V19
J00-J06	Acute upper respiratory infections	https://icd.who.int/browse10/2019/en#/J00-J06
R25-R29	Symptoms and signs involving the nervous and musculoskeletal systems	https://icd.who.int/browse10/2019/en#/R25-R29
Y90-Y98	Supplementary factors related to causes of morbidity and mortality classified elsewhere	https://icd.who.int/browse10/2019/en#/Y90-Y98
Y85-Y89	Sequelae of external causes of morbidity and mortality	https://icd.who.int/browse10/2019/en#/Y85-Y89
R95-R99	Ill-defined and unknown causes of mortality	https://icd.who.int/browse10/2019/en#/R95-R99
S70-S79	Injuries to the hip and thigh	https://icd.who.int/browse10/2019/en#/S70-S79
Q50-Q56	Congenital malformations of genital organs	https://icd.who.int/browse10/2019/en#/Q50-Q56
D60-D64	Aplastic and other anaemias	https://icd.who.int/browse10/2019/en#/D60-D64
K40-K46	Hernia	https://icd.who.int/browse10/2019/en#/K40-K46
X58-X59	Accidental exposure to other and unspecified factors	https://icd.who.int/browse10/2019/en#/X58-X59
I00-I02	Acute rheumatic fever	https://icd.who.int/browse10/2019/en#/I00-I02
H15-H22	Disorders of sclera, cornea, iris and ciliary body	https://icd.who.int/browse10/2019/en#/H15-H22
Z80-Z99	Persons with potential health hazards related to family and personal history and certain conditions influencing health status	https://icd.who.int/browse10/2019/en#/Z80-Z99
V80-V89	Other land transport accidents	https://icd.who.int/browse10/2019/en#/V80-V89
J90-J94	Other diseases of pleura	https://icd.who.int/browse10/2019/en#/J90-J94
K00-K14	Diseases of oral cavity, salivary glands and jaws	https://icd.who.int/browse10/2019/en#/K00-K14
J09-J18	Influenza and pneumonia	https://icd.who.int/browse10/2019/en#/J09-J18
XII	Diseases of the skin and subcutaneous tissue	https://icd.who.int/browse10/2019/en#/XII
S80-S89	Injuries to the knee and lower leg	https://icd.who.int/browse10/2019/en#/S80-S89
G90-G99	Other disorders of the nervous system	https://icd.who.int/browse10/2019/en#/G90-G99
H43-H45	Disorders of vitreous body and globe	https://icd.who.int/browse10/2019/en#/H43-H45
VIII	Diseases of the ear and mastoid process	https://icd.who.int/browse10/2019/en#/VIII
P75-P78	Digestive system disorders of fetus and newborn	https://icd.who.int/browse10/2019/en#/P75-P78
B50-B64	Protozoal diseases	https://icd.who.int/browse10/2019/en#/B50-B64
V60-V69	Occupant of heavy transport vehicle injured in transport accident	https://icd.who.int/browse10/2019/en#/V60-V69
N80-N98	Noninflammatory disorders of female genital tract	https://icd.who.int/browse10/2019/en#/N80-N98
P00-P04	Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery	https://icd.who.int/browse10/2019/en#/P00-P04
D70-D77	Other diseases of blood and blood-forming organs	https://icd.who.int/browse10/2019/en#/D70-D77
V40-V49	Car occupant injured in transport accident	https://icd.who.int/browse10/2019/en#/V40-V49
L40-L45	Papulosquamous disorders	https://icd.who.int/browse10/2019/en#/L40-L45
Q00-Q07	Congenital malformations of the nervous system	https://icd.who.int/browse10/2019/en#/Q00-Q07
B15-B19	Viral hepatitis	https://icd.who.int/browse10/2019/en#/B15-B19
J40-J47	Chronic lower respiratory diseases	https://icd.who.int/browse10/2019/en#/J40-J47
F90-F98	Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	https://icd.who.int/browse10/2019/en#/F90-F98
L80-L99	Other disorders of the skin and subcutaneous tissue	https://icd.who.int/browse10/2019/en#/L80-L99
G40-G47	Episodic and paroxysmal disorders	https://icd.who.int/browse10/2019/en#/G40-G47
W65-W74	Accidental drowning and submersion	https://icd.who.int/browse10/2019/en#/W65-W74
T36-T50	Poisoning by drugs, medicaments and biological substances	https://icd.who.int/browse10/2019/en#/T36-T50
R20-R23	Symptoms and signs involving the skin and subcutaneous tissue	https://icd.who.int/browse10/2019/en#/R20-R23
C76-C80	Malignant neoplasms of ill-defined, secondary and unspecified sites	https://icd.who.int/browse10/2019/en#/C76-C80
R50-R69	General symptoms and signs	https://icd.who.int/browse10/2019/en#/R50-R69
G20-G26	Extrapyramidal and movement disorders	https://icd.who.int/browse10/2019/en#/G20-G26
H53-H54	Visual disturbances and blindness	https://icd.who.int/browse10/2019/en#/H53-H54
C00-C75	Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue	https://icd.who.int/browse10/2019/en#/C00-C75
S40-S49	Injuries to the shoulder and upper arm	https://icd.who.int/browse10/2019/en#/S40-S49
X40-X49	Accidental poisoning by and exposure to noxious substances	https://icd.who.int/browse10/2019/en#/X40-X49
V98-V99	Other and unspecified transport accidents	https://icd.who.int/browse10/2019/en#/V98-V99
H10-H13	Disorders of conjunctiva	https://icd.who.int/browse10/2019/en#/H10-H13
N25-N29	Other disorders of kidney and ureter	https://icd.who.int/browse10/2019/en#/N25-N29
M45-M49	Spondylopathies	https://icd.who.int/browse10/2019/en#/M45-M49
E70-E90	Metabolic disorders	https://icd.who.int/browse10/2019/en#/E70-E90
B00-B09	Viral infections characterized by skin and mucous membrane lesions	https://icd.who.int/browse10/2019/en#/B00-B09
S10-S19	Injuries to the neck	https://icd.who.int/browse10/2019/en#/S10-S19
XIV	Diseases of the genitourinary system	https://icd.who.int/browse10/2019/en#/XIV
L10-L14	Bullous disorders	https://icd.who.int/browse10/2019/en#/L10-L14
R10-R19	Symptoms and signs involving the digestive system and abdomen	https://icd.who.int/browse10/2019/en#/R10-R19
XVI	Certain conditions originating in the perinatal period	https://icd.who.int/browse10/2019/en#/XVI
V20-V29	Motorcycle rider injured in transport accident	https://icd.who.int/browse10/2019/en#/V20-V29
L00-L08	Infections of the skin and subcutaneous tissue	https://icd.who.int/browse10/2019/en#/L00-L08
I60-I69	Cerebrovascular diseases	https://icd.who.int/browse10/2019/en#/I60-I69
Q38-Q45	Other congenital malformations of the digestive system	https://icd.who.int/browse10/2019/en#/Q38-Q45
P80-P83	Conditions involving the integument and temperature regulation of fetus and newborn	https://icd.who.int/browse10/2019/en#/P80-P83
O85-O92	Complications predominantly related to the puerperium	https://icd.who.int/browse10/2019/en#/O85-O92
B90-B94	Sequelae of infectious and parasitic diseases	https://icd.who.int/browse10/2019/en#/B90-B94
K80-K87	Disorders of gallbladder, biliary tract and pancreas	https://icd.who.int/browse10/2019/en#/K80-K87
D37-D48	Neoplasms of uncertain or unknown behaviour	https://icd.who.int/browse10/2019/en#/D37-D48
F10-F19	Mental and behavioural disorders due to psychoactive substance use	https://icd.who.int/browse10/2019/en#/F10-F19
E65-E68	Obesity and other hyperalimentation	https://icd.who.int/browse10/2019/en#/E65-E68
N99-N99	Other disorders of the genitourinary system	https://icd.who.int/browse10/2019/en#/N99-N99
T51-T65	Toxic effects of substances chiefly nonmedicinal as to source	https://icd.who.int/browse10/2019/en#/T51-T65
XXII	Codes for special purposes	https://icd.who.int/browse10/2019/en#/XXII
B25-B34	Other viral diseases	https://icd.who.int/browse10/2019/en#/B25-B34
Q65-Q79	Congenital malformations and deformations of the musculoskeletal system	https://icd.who.int/browse10/2019/en#/Q65-Q79
C64-C68	Malignant neoplasms of urinary tract	https://icd.who.int/browse10/2019/en#/C64-C68
I70-I79	Diseases of arteries, arterioles and capillaries	https://icd.who.int/browse10/2019/en#/I70-I79
M86-M90	Other osteopathies	https://icd.who.int/browse10/2019/en#/M86-M90
V50-V59	Occupant of pick-up truck or van injured in transport accident	https://icd.who.int/browse10/2019/en#/V50-V59
V01-V99	Transport accidents	https://icd.who.int/browse10/2019/en#/V01-V99
J30-J39	Other diseases of upper respiratory tract	https://icd.who.int/browse10/2019/en#/J30-J39
H49-H52	Disorders of ocular muscles, binocular movement, accommodation and refraction	https://icd.who.int/browse10/2019/en#/H49-H52
XIX	Injury, poisoning and certain other consequences of external causes	https://icd.who.int/browse10/2019/en#/XIX
Y60-Y69	Misadventures to patients during surgical and medical care	https://icd.who.int/browse10/2019/en#/Y60-Y69
D65-D69	Coagulation defects, purpura and other haemorrhagic conditions	https://icd.who.int/browse10/2019/en#/D65-D69
T80-T88	Complications of surgical and medical care, not elsewhere classified	https://icd.who.int/browse10/2019/en#/T80-T88
C81-C96	Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue	https://icd.who.int/browse10/2019/en#/C81-C96
I05-I09	Chronic rheumatic heart diseases	https://icd.who.int/browse10/2019/en#/I05-I09
T15-T19	Effects of foreign body entering through natural orifice	https://icd.who.int/browse10/2019/en#/T15-T19
M60-M79	Soft tissue disorders	https://icd.who.int/browse10/2019/en#/M60-M79
J95-J99	Other diseases of the respiratory system	https://icd.who.int/browse10/2019/en#/J95-J99
H90-H95	Other disorders of ear	https://icd.who.int/browse10/2019/en#/H90-H95
A00-A09	Intestinal infectious diseases	https://icd.who.int/browse10/2019/en#/A00-A09
B95-B98	Bacterial, viral and other infectious agents	https://icd.who.int/browse10/2019/en#/B95-B98
T20-T32	Burns and corrosions	https://icd.who.int/browse10/2019/en#/T20-T32
N40-N51	Diseases of male genital organs	https://icd.who.int/browse10/2019/en#/N40-N51
Z70-Z76	Persons encountering health services in other circumstances	https://icd.who.int/browse10/2019/en#/Z70-Z76
K70-K77	Diseases of liver	https://icd.who.int/browse10/2019/en#/K70-K77
Q20-Q28	Congenital malformations of the circulatory system	https://icd.who.int/browse10/2019/en#/Q20-Q28
J85-J86	Suppurative and necrotic conditions of lower respiratory tract	https://icd.who.int/browse10/2019/en#/J85-J86
H25-H28	Disorders of lens	https://icd.who.int/browse10/2019/en#/H25-H28
P20-P29	Respiratory and cardiovascular disorders specific to the perinatal period	https://icd.who.int/browse10/2019/en#/P20-P29
G30-G32	Other degenerative diseases of the nervous system	https://icd.who.int/browse10/2019/en#/G30-G32
M95-M99	Other disorders of the musculoskeletal system and connective tissue	https://icd.who.int/browse10/2019/en#/M95-M99
C69-C72	Malignant neoplasms of eye, brain and other parts of central nervous system	https://icd.who.int/browse10/2019/en#/C69-C72
X60-X84	Intentional self-harm	https://icd.who.int/browse10/2019/en#/X60-X84
Y70-Y82	Medical devices associated with adverse incidents in diagnostic and therapeutic use	https://icd.who.int/browse10/2019/en#/Y70-Y82
Y10-Y34	Event of undetermined intent	https://icd.who.int/browse10/2019/en#/Y10-Y34
D80-D89	Certain disorders involving the immune mechanism	https://icd.who.int/browse10/2019/en#/D80-D89
C50-C50	Malignant neoplasm of breast	https://icd.who.int/browse10/2019/en#/C50-C50
F70-F79	Mental retardation	https://icd.who.int/browse10/2019/en#/F70-F79
Y40-Y84	Complications of medical and surgical care	https://icd.who.int/browse10/2019/en#/Y40-Y84
D50-D53	Nutritional anaemias	https://icd.who.int/browse10/2019/en#/D50-D53
F00-F09	Organic, including symptomatic, mental disorders	https://icd.who.int/browse10/2019/en#/F00-F09
C51-C58	Malignant neoplasms of female genital organs	https://icd.who.int/browse10/2019/en#/C51-C58
M65-M68	Disorders of synovium and tendon	https://icd.who.int/browse10/2019/en#/M65-M68
P50-P61	Haemorrhagic and haematological disorders of fetus and newborn	https://icd.who.int/browse10/2019/en#/P50-P61
X00-X09	Exposure to smoke, fire and flames	https://icd.who.int/browse10/2019/en#/X00-X09
D00-D09	In situ neoplasms	https://icd.who.int/browse10/2019/en#/D00-D09
A50-A64	Infections with a predominantly sexual mode of transmission	https://icd.who.int/browse10/2019/en#/A50-A64
M60-M63	Disorders of muscles	https://icd.who.int/browse10/2019/en#/M60-M63
Y40-Y59	Drugs, medicaments and biological substances causing adverse effects in therapeutic use	https://icd.who.int/browse10/2019/en#/Y40-Y59
O94-O99	Other obstetric conditions, not elsewhere classified	https://icd.who.int/browse10/2019/en#/O94-O99
V	Mental and behavioural disorders	https://icd.who.int/browse10/2019/en#/V
E10-E14	Diabetes mellitus	https://icd.who.int/browse10/2019/en#/E10-E14
N00-N08	Glomerular diseases	https://icd.who.int/browse10/2019/en#/N00-N08
O30-O48	Maternal care related to the fetus and amniotic cavity and possible delivery problems	https://icd.who.int/browse10/2019/en#/O30-O48
M50-M54	Other dorsopathies	https://icd.who.int/browse10/2019/en#/M50-M54
H65-H75	Diseases of middle ear and mastoid	https://icd.who.int/browse10/2019/en#/H65-H75
A92-A99	Arthropod-borne viral fevers and viral haemorrhagic fevers	https://icd.who.int/browse10/2019/en#/A92-A99
T29-T32	Burns and corrosions of multiple and unspecified body regions	https://icd.who.int/browse10/2019/en#/T29-T32
G70-G73	Diseases of myoneural junction and muscle	https://icd.who.int/browse10/2019/en#/G70-G73
V01-V09	Pedestrian injured in transport accident	https://icd.who.int/browse10/2019/en#/V01-V09
H00-H06	Disorders of eyelid, lacrimal system and orbit	https://icd.who.int/browse10/2019/en#/H00-H06
XVII	Congenital malformations, deformations and chromosomal abnormalities	https://icd.who.int/browse10/2019/en#/XVII
O20-O29	Other maternal disorders predominantly related to pregnancy	https://icd.who.int/browse10/2019/en#/O20-O29
K35-K38	Diseases of appendix	https://icd.who.int/browse10/2019/en#/K35-K38
J60-J70	Lung diseases due to external agents	https://icd.who.int/browse10/2019/en#/J60-J70
II	Neoplasms	https://icd.who.int/browse10/2019/en#/II
R00-R09	Symptoms and signs involving the circulatory and respiratory systems	https://icd.who.int/browse10/2019/en#/R00-R09
C30-C39	Malignant neoplasms of respiratory and intrathoracic organs	https://icd.who.int/browse10/2019/en#/C30-C39
G50-G59	Nerve, nerve root and plexus disorders	https://icd.who.int/browse10/2019/en#/G50-G59
X50-X57	Overexertion, travel and privation	https://icd.who.int/browse10/2019/en#/X50-X57
F80-F89	Disorders of psychological development	https://icd.who.int/browse10/2019/en#/F80-F89
M70-M79	Other soft tissue disorders	https://icd.who.int/browse10/2019/en#/M70-M79
VI	Diseases of the nervous system	https://icd.who.int/browse10/2019/en#/VI
Q30-Q34	Congenital malformations of the respiratory system	https://icd.who.int/browse10/2019/en#/Q30-Q34
P10-P15	Birth trauma	https://icd.who.int/browse10/2019/en#/P10-P15
N70-N77	Inflammatory diseases of female pelvic organs	https://icd.who.int/browse10/2019/en#/N70-N77
H55-H59	Other disorders of eye and adnexa	https://icd.who.int/browse10/2019/en#/H55-H59
O00-O08	Pregnancy with abortive outcome	https://icd.who.int/browse10/2019/en#/O00-O08
R47-R49	Symptoms and signs involving speech and voice	https://icd.who.int/browse10/2019/en#/R47-R49
Q10-Q18	Congenital malformations of eye, ear, face and neck	https://icd.who.int/browse10/2019/en#/Q10-Q18
M91-M94	Chondropathies	https://icd.who.int/browse10/2019/en#/M91-M94
T66-T78	Other and unspecified effects of external causes	https://icd.who.int/browse10/2019/en#/T66-T78
C40-C41	Malignant neoplasms of bone and articular cartilage	https://icd.who.int/browse10/2019/en#/C40-C41
W50-W64	Exposure to animate mechanical forces	https://icd.who.int/browse10/2019/en#/W50-W64
M05-M14	Inflammatory polyarthropathies	https://icd.who.int/browse10/2019/en#/M05-M14
M80-M94	Osteopathies and chondropathies	https://icd.who.int/browse10/2019/en#/M80-M94
XV	Pregnancy, childbirth and the puerperium	https://icd.who.int/browse10/2019/en#/XV
S50-S59	Injuries to the elbow and forearm	https://icd.who.int/browse10/2019/en#/S50-S59
Y35-Y36	Legal intervention and operations of war	https://icd.who.int/browse10/2019/en#/Y35-Y36
N17-N19	Renal failure	https://icd.who.int/browse10/2019/en#/N17-N19
C73-C75	Malignant neoplasms of thyroid and other endocrine glands	https://icd.who.int/browse10/2019/en#/C73-C75
M00-M03	Infectious arthropathies	https://icd.who.int/browse10/2019/en#/M00-M03
